瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),乞闭浅加(m/s),乞闭款樊(1/10),钦拌 老荤樊(MJ/m2)
156,堡林,2014-01,2.1,58,12.9,1.8,3.3,285.64
156,堡林,2014-02,4.2,57,8.6,2.2,5.2,295.26
156,堡林,2014-03,8.6,61,101.7,2,4.2,421.2
156,堡林,2014-04,14.5,55,62.5,1.9,4.8,501.87
156,堡林,2014-05,19.2,56,57,2.2,3.4,700.91
156,堡林,2014-06,22.9,67,72,1.9,6.9,504.52
156,堡林,2014-07,25.2,74,240.9,2.1,7.6,448.6
156,堡林,2014-08,24.4,78,370.2,2,8.1,349.72
156,堡林,2014-09,22.3,69,116.5,1.7,5.7,437.93
156,堡林,2014-10,16.4,66,105,1.8,3.4,420.65
156,堡林,2014-11,10.3,68,95.5,1.5,5,269.63
156,堡林,2014-12,1.2,70,47.5,1.9,5.7,198.15
156,堡林,2015-01,1.7,66,47.2,1.6,4.7,259.91
156,堡林,2015-02,3,61,23.9,1.8,5.4,288.73
156,堡林,2015-03,8,51,36.5,1.9,3.9,493.71
156,堡林,2015-04,13.9,63,145.5,1.9,6,444.24
156,堡林,2015-05,19.4,56,48.6,2,4.7,657.85
156,堡林,2015-06,22.5,70,96.1,1.8,7.3,495.99
156,堡林,2015-07,25.4,83,164.3,1.9,7.2,522.71
156,堡林,2015-08,26,81,148.9,1.5,6,538.07
156,堡林,2015-09,22,73,66.6,1.4,4.6,517.74
156,堡林,2015-10,16.9,70,90.9,1.3,3.2,444.87
156,堡林,2015-11,11.6,83,121.9,1.1,7.2,205.09
156,堡林,2015-12,5.3,73,59.2,1.3,5.7,225.35
156,堡林,2016-01,.9,69,49.7,1.5,6,244.83
156,堡林,2016-02,3.3,60,45.2,1.8,4.5,348.22
156,堡林,2016-03,8.4,60,55.2,1.7,4.1,520.95
156,堡林,2016-04,15.5,66,185,1.8,5.8,541.64
156,堡林,2016-05,19.8,65,104.5,1.8,5.2,681.6
156,堡林,2016-06,23,80,116.1,1.6,7,505.22
156,堡林,2016-07,26.9,84,301.3,1.9,6.6,570.17
156,堡林,2016-08,27.8,79,81,1.4,4.1,592.06
156,堡林,2016-09,23,83,251.2,1.5,6.8,408.67
156,堡林,2016-10,17.2,79,216.7,1.5,6.7,318.54
156,堡林,2016-11,9.6,69,31.5,1.5,4.6,297
156,堡林,2016-12,4.7,69,44.9,1.5,5.1,241.72
156,堡林,2017-01,2,66,11.7,1.6,4.7,291.97
156,堡林,2017-02,2.9,60,41.9,1.6,4.3,366.96
156,堡林,2017-03,7.4,57,33.2,1.5,4.8,519.15
156,堡林,2017-04,15.1,60,60.6,1.9,4.4,614.81
156,堡林,2017-05,19.8,62,30.2,1.4,4.1,704.45
156,堡林,2017-06,23.1,68,42.1,1.5,5.5,640.81
156,堡林,2017-07,27.8,89,211.6,1.8,7.4,494.13
156,堡林,2017-08,27,83,280.5,1.6,5.8,547.82
156,堡林,2017-09,22.4,76,108.8,1.5,5.1,463.02
156,堡林,2017-10,17,75,85.4,1.5,5,392.99
156,堡林,2017-11,8.8,64,2.1,1.3,3.8,343.91
156,堡林,2017-12,1.9,64,28.5,1.5,5.2,275.81
156,堡林,2018-01,-.2,67,38.8,1.5,4.7,292.12
156,堡林,2018-02,1.8,54,22,1.6,4.8,352.83
156,堡林,2018-03,10,72,115.8,1.8,4.9,445.57
156,堡林,2018-04,15.1,67,127.4,1.7,4.7,579.66
156,堡林,2018-05,19.5,74,85.4,1.6,5.9,581.84
156,堡林,2018-06,23.6,74,222.4,1.5,6,630.27
156,堡林,2018-07,28.3,79,84.5,1.7,4.7,660.92
156,堡林,2018-08,28.4,78,397.1,2,6,590.22
156,堡林,2018-09,21.6,78,129.7,1.5,6.2,461.03
156,堡林,2018-10,14.5,72,125.2,1.4,4,456.15
156,堡林,2018-11,9.9,70,47.2,1,3.8,335.3
156,堡林,2018-12,3.2,62,32.4,1.7,5.2,284.78
156,堡林,2019-01,1.8,59,16.4,1.4,4.1,340.78
156,堡林,2019-02,3.6,58,37,1.5,5.8,359.82
156,堡林,2019-03,8.4,61,33.9,1.7,4.8,520.96
156,堡林,2019-04,13,67,84.7,1.5,5.8,499.58
156,堡林,2019-05,19.2,58,78.8,1.6,4.4,750.55
156,堡林,2019-06,22,79,158,1.3,6,607.69
156,堡林,2019-07,25.3,84,242.2,1.8,7.4,504.72
156,堡林,2019-08,27,80,64.8,1.5,6.4,549.91
156,堡林,2019-09,22.9,82,165.8,1.6,6.5,417.03
156,堡林,2019-10,17.1,74,149.9,1.2,4.7,430.67
156,堡林,2019-11,10.8,66,22.8,1.2,4.1,337.05
156,堡林,2019-12,4.8,62,31.6,1.3,5.2,242.93
156,堡林,2020-01,4.6,68,74.9,1.4,6.3,264.36
156,堡林,2020-02,5.3,67,47.8,1.4,4.9,346.78
156,堡林,2020-03,9,58,43.5,1.7,4,568.48
156,堡林,2020-04,11.5,52,55.3,1.8,3.3,686.9
156,堡林,2020-05,18.8,73,96.8,1.7,6.1,619.38
156,堡林,2020-06,23.6,79,199.9,1.6,6.5,592.22
156,堡林,2020-07,23.4,91,533.3,1.5,8.7,394.45
156,堡林,2020-08,27.6,89,738.1,2.2,6.6,501.73
156,堡林,2020-09,21.3,85,178.3,1.5,6.3,441.01
156,堡林,2020-10,15.7,64,12.1,1.2,4.6,477.99
156,堡林,2020-11,10.5,63,28.3,1.4,4.8,320.91
156,堡林,2020-12,2.7,62,18.7,1.4,4.8,299.96
156,堡林,2021-01,1.4,71,33,1.5,5.7,304.64
156,堡林,2021-02,5.1,59,31.1,1.5,4.8,356.28
156,堡林,2021-03,10.6,65,122.4,1.5,5,524.59
156,堡林,2021-04,14.9,52,34.2,1.4,5.1,622.29
156,堡林,2021-05,18.4,68,139.4,1.4,5.8,617.85
156,堡林,2021-06,23.3,76,118.1,1.3,6.1,603.21
156,堡林,2021-07,27,82,227.6,1.5,6.6,566.24
156,堡林,2021-08,25.8,88,338.7,1.3,7,466.53
156,堡林,2021-09,22.9,84,131.1,1.5,7.1,389.17
156,堡林,2021-10,17.2,77,35.3,1.2,4.4,439.7
156,堡林,2021-11,10.2,78,85.8,1,4.7,310.83
156,堡林,2021-12,4.1,71,7.1,1.2,4.4,288.88
156,堡林,2022-01,1.6,59,.3,1.2,4.8,327.51
156,堡林,2022-02,1.8,56,2.7,1.5,4.7,395.79
156,堡林,2022-03,9.6,68,105.2,1.4,5.4,434.2
156,堡林,2022-04,15.5,60,49.4,1.4,4.3,647.3
156,堡林,2022-05,19.3,59,.4,1.3,3.9,770.49
156,堡林,2022-06,23.8,83,131.7,1.9,6.5,570.73
156,堡林,2022-07,27,88,169,1.5,6.6,552.07
156,堡林,2022-08,26.9,90,106.4,1.8,7.3,454.3
156,堡林,2022-09,23.1,77,89.2,1.5,6.2,483.16
156,堡林,2022-10,16,65,38.3,1.1,4,459.57
156,堡林,2022-11,11.8,62,46.7,1,3.9,336.75
156,堡林,2022-12,1.1,63,30.6,1.2,5,275.78
