,일시,year,month,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일사량(MJ/m2),전력사용량
0,2014-01-01,2014,1,2.1,58,12.9,1.8,3.3,285.64,753935517
1,2014-02-01,2014,2,4.2,57,8.6,2.2,5.2,295.26,723755737
2,2014-03-01,2014,3,8.6,61,101.7,2.0,4.2,421.2,683278316
3,2014-04-01,2014,4,14.5,55,62.5,1.9,4.8,501.87,671402336
4,2014-05-01,2014,5,19.2,56,57.0,2.2,3.4,700.91,623437184
5,2014-06-01,2014,6,22.9,67,72.0,1.9,6.9,504.52,651234099
6,2014-07-01,2014,7,25.2,74,240.9,2.1,7.6,448.6,692995225
7,2014-08-01,2014,8,24.4,78,370.2,2.0,8.1,349.72,717104049
8,2014-09-01,2014,9,22.3,69,116.5,1.7,5.7,437.93,668280448
9,2014-10-01,2014,10,16.4,66,105.0,1.8,3.4,420.65,629548656
10,2014-11-01,2014,11,10.3,68,95.5,1.5,5.0,269.63,655912783
11,2014-12-01,2014,12,1.2,70,47.5,1.9,5.7,198.15,726391929
12,2015-01-01,2015,1,1.7,66,47.2,1.6,4.7,259.91,776667026
13,2015-02-01,2015,2,3.0,61,23.9,1.8,5.4,288.73,741223402
14,2015-03-01,2015,3,8.0,51,36.5,1.9,3.9,493.71,686980103
15,2015-04-01,2015,4,13.9,63,145.5,1.9,6.0,444.24,682684453
16,2015-05-01,2015,5,19.4,56,48.6,2.0,4.7,657.85,628401874
17,2015-06-01,2015,6,22.5,70,96.1,1.8,7.3,495.99,645195423
18,2015-07-01,2015,7,25.4,83,164.3,1.9,7.2,522.71,714511685
19,2015-08-01,2015,8,26.0,81,148.9,1.5,6.0,538.07,754559879
20,2015-09-01,2015,9,22.0,73,66.6,1.4,4.6,517.74,696735552
21,2015-10-01,2015,10,16.9,70,90.9,1.3,3.2,444.87,637334533
22,2015-11-01,2015,11,11.6,83,121.9,1.1,7.2,205.09,660658484
23,2015-12-01,2015,12,5.3,73,59.2,1.3,5.7,225.35,708919711
24,2016-01-01,2016,1,0.9,69,49.7,1.5,6.0,244.83,753434128
25,2016-02-01,2016,2,3.3,60,45.2,1.8,4.5,348.22,756942825
26,2016-03-01,2016,3,8.4,60,55.2,1.7,4.1,520.95,714022910
27,2016-04-01,2016,4,15.5,66,185.0,1.8,5.8,541.64,675078079
28,2016-05-01,2016,5,19.8,65,104.5,1.8,5.2,681.6,630983018
29,2016-06-01,2016,6,23.0,80,116.1,1.6,7.0,505.22,675463388
30,2016-07-01,2016,7,26.9,84,301.3,1.9,6.6,570.17,731854626
31,2016-08-01,2016,8,27.8,79,81.0,1.4,4.1,592.06,813713342
32,2016-09-01,2016,9,23.0,83,251.2,1.5,6.8,408.67,742389262
33,2016-10-01,2016,10,17.2,79,216.7,1.5,6.7,318.54,650524055
34,2016-11-01,2016,11,9.6,69,31.5,1.5,4.6,297.0,679693535
35,2016-12-01,2016,12,4.7,69,44.9,1.5,5.1,241.72,734269928
36,2017-01-01,2017,1,2.0,66,11.7,1.6,4.7,291.97,765085605
